"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "XML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\package-lock.json", "JSON", 0, 18261, 0, 0, 0, 0, 0, 0, 1, 18262
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\public\icons\down-chevron.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\public\icons\home.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\public\icons\thumbs-down.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\public\icons\thumbs-up.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 8, 18
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\public\icons\up-chevron.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\public\icons\user-avatar-svgrepo-com.svg", "XML", 0, 0, 0, 0, 25, 0, 0, 1, 0, 26
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\App backup.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\App.css", "CSS", 0, 0, 0, 0, 0, 56, 0, 9, 10, 75
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\Sidebar.css", "CSS", 0, 0, 0, 0, 0, 53, 0, 15, 13, 81
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 5, 37
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\HeaderFields.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 4, 50
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\Helpers.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 1, 9, 82
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\PlayerRoles.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\SideBar.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\components\modal.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 5, 3, 18
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\auth\ChangePassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 61, 2, 7, 70
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 78, 3, 7, 88
